latent_key,group,time_bin,normalized_time,mean_margin,std_margin,sem_margin,n
action_head_input,intervention_unrecovered_failure,0,0.0,-0.0004745485373024597,0.012841695397466395,0.004853704633448404,7
action_head_input,intervention_unrecovered_failure,1,0.05263157894736842,0.0026985262223080814,0.01578017075415241,0.005964343923088835,7
action_head_input,intervention_unrecovered_failure,2,0.10526315789473684,-0.04431283769804173,0.017693779548623143,0.006687620062636788,7
action_head_input,intervention_unrecovered_failure,3,0.15789473684210525,-0.010101177825923,0.03041713345705081,0.011496595817545542,7
action_head_input,intervention_unrecovered_failure,4,0.21052631578947367,-0.021600684495910485,0.009014638614644374,0.003407213133352691,7
action_head_input,intervention_unrecovered_failure,5,0.2631578947368421,0.01986136112748926,0.05273902056972829,0.019933476116660145,7
action_head_input,intervention_unrecovered_failure,6,0.3157894736842105,0.026799640752275318,0.0389667626946387,0.014728051926754731,7
action_head_input,intervention_unrecovered_failure,7,0.3684210526315789,-0.008154308129237212,0.030962693438234365,0.01170279810832851,7
action_head_input,intervention_unrecovered_failure,8,0.42105263157894735,0.012306415931263298,0.03577774781386756,0.013522717597925484,7
action_head_input,intervention_unrecovered_failure,9,0.47368421052631576,0.053988489845038214,0.02706936823470854,0.01023125949952433,7
action_head_input,intervention_unrecovered_failure,10,0.5263157894736842,-0.007170612166812347,0.04824886068795335,0.018236355203217907,7
action_head_input,intervention_unrecovered_failure,11,0.5789473684210527,0.0016956272904274576,0.04169843388320984,0.01576052658797751,7
action_head_input,intervention_unrecovered_failure,12,0.631578947368421,0.01417958017633358,0.03701027400498877,0.01398856871022268,7
action_head_input,intervention_unrecovered_failure,13,0.6842105263157894,0.019239652383210792,0.05011489135361593,0.01894164850038412,7
action_head_input,intervention_unrecovered_failure,14,0.7368421052631579,0.003608729760617692,0.05080939705711357,0.01920414698260851,7
action_head_input,intervention_unrecovered_failure,15,0.7894736842105263,-0.010211754354401765,0.030247790636712357,0.011432590247698424,7
action_head_input,intervention_unrecovered_failure,16,0.8421052631578947,0.02733426561261035,0.03327631392022612,0.012577264454547876,7
action_head_input,intervention_unrecovered_failure,17,0.894736842105263,0.02381598588022458,0.03809648448256767,0.014399117680957892,7
action_head_input,intervention_unrecovered_failure,18,0.9473684210526315,-0.03441681505132503,0.03053608664011308,0.011541555894694444,7
action_head_input,intervention_unrecovered_failure,19,1.0,0.01244631202145583,0.0483457714691117,0.018272984035547335,7
action_head_input,natural_failure,0,0.0,-0.010506667307851143,0.009956087592653607,0.0017331323906187466,33
action_head_input,natural_failure,1,0.05263157894736842,-0.0160920308261853,0.020528312767609178,0.0035735205673108296,33
action_head_input,natural_failure,2,0.10526315789473684,-0.048443809020000686,0.022944748944961353,0.003994168112830844,33
action_head_input,natural_failure,3,0.15789473684210525,0.019465683387862757,0.01679421199530699,0.0029234970577661037,33
action_head_input,natural_failure,4,0.21052631578947367,-0.04056060518611265,0.016176458929127814,0.002815960052046188,33
action_head_input,natural_failure,5,0.2631578947368421,0.04975024212229094,0.030511308931379814,0.005311337138914746,33
action_head_input,natural_failure,6,0.3157894736842105,0.04276903265397532,0.03236020334784374,0.0056331883450423635,33
action_head_input,natural_failure,7,0.3684210526315789,0.0020525078859881902,0.026519259049317314,0.004616410452987086,33
action_head_input,natural_failure,8,0.42105263157894735,0.012584360356956092,0.03685843041307539,0.006416229168514368,33
action_head_input,natural_failure,9,0.47368421052631576,0.029153457084277957,0.03230648382577045,0.0056238369765607855,33
action_head_input,natural_failure,10,0.5263157894736842,0.02499765297185671,0.028138525833840106,0.004898288619203733,33
action_head_input,natural_failure,11,0.5789473684210527,0.00921649996222154,0.02812140418611635,0.004895308122901883,33
action_head_input,natural_failure,12,0.631578947368421,0.010757864105226904,0.037401558458216,0.006510775625496246,33
action_head_input,natural_failure,13,0.6842105263157894,0.004725808043425186,0.035734465979941225,0.006220572074616798,33
action_head_input,natural_failure,14,0.7368421052631579,0.015701289115097924,0.03491687051853348,0.006078246973174921,33
action_head_input,natural_failure,15,0.7894736842105263,-0.00032073487561609236,0.0371505300275586,0.006467077184709168,33
