latent_key,rollout_id,trial_id,chunk_id,group,dominant_failure_mode,centroid_mode,cos_success_centroid,cos_bowl_centroid,margin_success_minus_bowl,nearest_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_008,8,2,natural_success,success,chunk_aligned,0.9058762580871299,0.8928544961320612,0.013021761955068656,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_008,8,3,natural_success,success,chunk_aligned,0.9149356582623699,0.8800888528878954,0.03484680537447449,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_008,8,4,natural_success,success,chunk_aligned,0.8708951812692938,0.8505265571518476,0.02036862411744622,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_009,9,0,natural_failure,wrong_receptacle,chunk_aligned,0.9100380502952308,0.9163125664324503,-0.006274516137219521,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_009,9,1,natural_failure,wrong_receptacle,chunk_aligned,0.9015512262919955,0.9139810901959471,-0.012429863903951621,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_009,9,2,natural_failure,wrong_receptacle,chunk_aligned,0.8987706197757125,0.9079680780469973,-0.00919745827128482,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_009,9,3,natural_failure,wrong_receptacle,chunk_aligned,0.9167395555435378,0.9303318283225506,-0.01359227277901276,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_009,9,4,natural_failure,wrong_receptacle,chunk_aligned,0.8797781849052101,0.910001526163529,-0.030223341258318936,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_010,10,0,natural_success,success,chunk_aligned,0.7917976484383189,0.7935727835911621,-0.0017751351528432213,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_010,10,1,natural_success,success,chunk_aligned,0.9069120881657056,0.8878023202172567,0.019109767948448875,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_010,10,2,natural_success,success,chunk_aligned,0.9508752932950773,0.9299095161723898,0.020965777122687435,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_010,10,3,natural_success,success,chunk_aligned,0.875334629537587,0.85154542861894,0.023789200918647002,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_010,10,4,natural_success,success,chunk_aligned,0.8931010428683472,0.8735322441221659,0.019568798746181337,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_011,11,0,natural_failure,wrong_receptacle,chunk_aligned,0.8728672349900852,0.8758630482512817,-0.002995813261196467,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_011,11,1,natural_failure,wrong_receptacle,chunk_aligned,0.9481616378307705,0.9434770666997939,0.004684571130976534,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_011,11,2,natural_failure,wrong_receptacle,chunk_aligned,0.9245325648519441,0.9334162822040385,-0.008883717352094367,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_011,11,3,natural_failure,wrong_receptacle,chunk_aligned,0.9115472600275056,0.9121116637456722,-0.0005644037181665729,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_011,11,4,natural_failure,wrong_receptacle,chunk_aligned,0.849179114277632,0.8526704622625498,-0.003491347984917792,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_012,12,0,natural_failure,wrong_receptacle,chunk_aligned,0.868240613380939,0.8612946143960574,0.006945998984881685,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_012,12,1,natural_failure,wrong_receptacle,chunk_aligned,0.9163706708884674,0.9177435229669979,-0.001372852078530551,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_012,12,2,natural_failure,wrong_receptacle,chunk_aligned,0.914378913154405,0.9127091004067053,0.0016698127476997282,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_012,12,3,natural_failure,wrong_receptacle,chunk_aligned,0.8839214645026012,0.8743904154224159,0.009531049080185316,success_template
