latent_key,group,time_bin,normalized_time,mean_cosine_drift,std_cosine_drift,sem_cosine_drift,n
action_head_input,intervention_unrecovered_failure,9,0.47368421052631576,0.5016030531096468,0.10291161300258032,0.03889693357504981,7
action_head_input,intervention_unrecovered_failure,10,0.5263157894736842,0.43526294107711305,0.15238420571907726,0.0575958160095407,7
action_head_input,intervention_unrecovered_failure,11,0.5789473684210527,0.5818169511377127,0.16044551743514118,0.060642705444065914,7
action_head_input,intervention_unrecovered_failure,12,0.631578947368421,0.528950377977085,0.20932107358558094,0.07911592926749977,7
action_head_input,intervention_unrecovered_failure,13,0.6842105263157894,0.4342296228659776,0.23509889944996784,0.0888590316356564,7
action_head_input,intervention_unrecovered_failure,14,0.7368421052631579,0.43595826849353825,0.08678619662033434,0.032802099070079846,7
action_head_input,intervention_unrecovered_failure,15,0.7894736842105263,0.5336443867093571,0.34799713340524707,0.13153055313623593,7
action_head_input,intervention_unrecovered_failure,16,0.8421052631578947,0.4505335438738708,0.13220591435124218,0.04996913874647028,7
action_head_input,intervention_unrecovered_failure,17,0.894736842105263,0.28917672529000693,0.1008623093379944,0.03812236959542871,7
action_head_input,intervention_unrecovered_failure,18,0.9473684210526315,0.44958450606719563,0.1069396852433895,0.04041940177679034,7
action_head_input,intervention_unrecovered_failure,19,1.0,0.4845408402225423,0.3410917390136917,0.12892055938411084,7
action_head_input,natural_failure,0,0.0,0.21723095634378398,0.045886860819570566,0.007987877170636195,33
action_head_input,natural_failure,1,0.05263157894736842,0.33757539491901395,0.04610488225698876,0.008025829831410048,33
action_head_input,natural_failure,2,0.10526315789473684,0.40416775200000254,0.1086588949238309,0.01891508572707696,33
action_head_input,natural_failure,3,0.15789473684210525,0.3735790025120067,0.10267969983966822,0.017874241462324088,33
action_head_input,natural_failure,4,0.21052631578947367,0.2988684090650864,0.08990082861490574,0.015649725513757717,33
action_head_input,natural_failure,5,0.2631578947368421,0.5897079231336114,0.19659405212683265,0.0342226317690713,33
action_head_input,natural_failure,6,0.3157894736842105,0.3553424781499486,0.11538197403874732,0.020085423580206315,33
action_head_input,natural_failure,7,0.3684210526315789,0.48164775145869193,0.18568606698096443,0.03232379528367899,33
action_head_input,natural_failure,8,0.42105263157894735,0.5837660613874034,0.1974863560765388,0.03437796194903616,33
action_head_input,natural_failure,9,0.47368421052631576,0.52836833366139,0.1647961377373175,0.028687325367864547,33
action_head_input,natural_failure,10,0.5263157894736842,0.497849367223183,0.140749948771746,0.024501421158070094,33
action_head_input,natural_failure,11,0.5789473684210527,0.48455837752222136,0.19021208230228456,0.03311167342163397,33
action_head_input,natural_failure,12,0.631578947368421,0.48016011276296827,0.16498358813788325,0.02871995629420299,33
action_head_input,natural_failure,13,0.6842105263157894,0.5368018972510978,0.22317160270961892,0.038849189475566724,33
action_head_input,natural_failure,14,0.7368421052631579,0.45972318416674807,0.20002619486233283,0.03482009113137255,33
action_head_input,natural_failure,15,0.7894736842105263,0.4034352490250296,0.12353738416538416,0.021505098258408618,33
action_head_input,natural_failure,16,0.8421052631578947,0.4651871045480606,0.15314098522992248,0.02665842373957105,33
